ISSN,DOI,authors,year,title,journal,URL,citations,impact_factor_rank,category,year_for_citations_by_year,citations_per_year,more_than_20_citations_per_year,more_than_25_citations_per_year,more_than_30_citations_per_year
1046-1310,10.1007/s12144-020-01318-7,Ogueji; Okoloba; Demoko Ceccaldi,2022,Coping strategies of individuals in the United Kingdom during the COVID-19 pandemic,Current Psychology,https://doi.org/10.1007/s12144-020-01318-7,74,250,"PSYCHOLOGY, MULTIDISCIPLINARY",2022,24.67,TRUE,FALSE,FALSE
2730-7166,10.1007/s10802-020-00715-7,Cunningham; Hudson; Harkness,2021,Social Media and Depression Symptoms: a Meta-Analysis,Research on Child and Adolescent Psychopathology,https://doi.org/10.1007/s10802-020-00715-7,142,181,"PSYCHOLOGY, CLINICAL",2021,35.5,TRUE,TRUE,TRUE
2076-328X,10.3390/bs11010005,Alheneidi; AlSumait; AlSumait; Smith,2021,Loneliness and Problematic Internet Use during COVID-19 Lock-Down,Behavioral Sciences,https://doi.org/10.3390/bs11010005,94,251,"PSYCHOLOGY, MULTIDISCIPLINARY",2021,23.5,TRUE,FALSE,FALSE
1046-1310,10.1007/s12144-020-01211-3,Latkin; Dayton; Moran; Strickland; Collins,2022,Behavioral and psychosocial factors associated with COVID-19 skepticism in the United States,Current Psychology,https://doi.org/10.1007/s12144-020-01211-3,66,250,"PSYCHOLOGY, MULTIDISCIPLINARY",2022,22,TRUE,FALSE,FALSE
1554-3528,10.3758/s13428-020-01500-6,Christensen; Golino,2021,On the equivalency of factor and network loadings,Behavior Research Methods,https://doi.org/10.3758/s13428-020-01500-6,104,55,"PSYCHOLOGY, EXPERIMENTAL",2021,26,TRUE,TRUE,FALSE
1046-1310,10.1007/s12144-020-01244-8,Yıldırım; Arslan; Wong,2022,"Meaningful living, resilience, affective balance, and psychological health problems among Turkish young adults during coronavirus pandemic",Current Psychology,https://doi.org/10.1007/s12144-020-01244-8,61,250,"PSYCHOLOGY, MULTIDISCIPLINARY",2022,20.33,TRUE,FALSE,FALSE
0091-8369,10.1080/00918369.2020.1868184,Moore; Wierenga; Prince; Gillani; Mintz,2021,"Disproportionate Impact of the COVID-19 Pandemic on Perceived Social Support, Mental Health and Somatic Symptoms in Sexual and Gender Minority Populations",Journal of Homosexuality,https://doi.org/10.1080/00918369.2020.1868184,129,268,"PSYCHOLOGY, MULTIDISCIPLINARY",2021,32.25,TRUE,TRUE,TRUE
1664-1078,10.3389/fpsyg.2020.567379,Wheaton; Prikhidko; Messner,2021,Is Fear of COVID-19 Contagious? The Effects of Emotion Contagion and Social Media Use on Anxiety in Response to the Coronavirus Pandemic,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.567379,107,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2021,26.75,TRUE,TRUE,FALSE
0090-6905,10.1007/s10936-020-09752-1,Alfadda; Mahdi,2021,Measuring Students’ Use of Zoom Application in Language Course Based on the Technology Acceptance Model (TAM),Journal of Psycholinguistic Research,https://doi.org/10.1007/s10936-020-09752-1,175,481,"PSYCHOLOGY, EXPERIMENTAL",2021,43.75,TRUE,TRUE,TRUE
2397-3374,10.1038/s41562-020-01003-6,Deco; Vidaurre; Kringelbach,2021,Revisiting the global workspace orchestrating the hierarchical organization of the human brain,Nature Human Behaviour,https://doi.org/10.1038/s41562-020-01003-6,94,1,"PSYCHOLOGY, EXPERIMENTAL",2021,23.5,TRUE,FALSE,FALSE
