ISSN,DOI,authors,year,title,journal,URL,citations,impact_factor_rank,category,year_for_citations_by_year,citations_per_year,more_than_20_citations_per_year,more_than_25_citations_per_year,more_than_30_citations_per_year
0033-2917,10.1017/s003329172000392x,Debowska; Horeczy; Boduszek; Dolinski,2022,"A repeated cross-sectional survey assessing university students' stress, depression, anxiety, and suicidality in the early stages of the COVID-19 pandemic in Poland",Psychological Medicine,https://doi.org/10.1017/s003329172000392x,163,26,PSYCHOLOGY,2022,54.33,TRUE,TRUE,TRUE
1664-1078,10.3389/fpsyg.2017.01687,Vaportzis; Giatsi Clausen; Gow,2017,Older Adults Perceptions of Technology and Barriers to Interacting with Tablet Computers: A Focus Group Study,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2017.01687,586,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2017,73.25,TRUE,TRUE,TRUE
1094-4281,10.1177/1094428116641191,Busse; Kach; Wagner,2017,Boundary Conditions,Organizational Research Methods,https://doi.org/10.1177/1094428116641191,295,13,"PSYCHOLOGY, APPLIED",2017,36.88,TRUE,TRUE,TRUE
1939-1463,10.1037/met0000011,Tipton,2015,Small sample adjustments for robust variance estimation with meta-regression.,Psychological Methods,https://doi.org/10.1037/met0000011,463,17,"PSYCHOLOGY, MULTIDISCIPLINARY",2015,46.3,TRUE,TRUE,TRUE
1664-1078,10.3389/fpsyg.2020.566790,van der Linden; Roozenbeek; Compton,2020,Inoculating Against Fake News About COVID-19,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.566790,276,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,55.2,TRUE,TRUE,TRUE
0747-5632,10.1016/j.chb.2017.10.035,Johnson; Kiser; Washington; Torres,2018,Limitations to the rapid adoption of M-payment services: Understanding the impact of privacy risk on M-Payment services,Computers in Human Behavior,https://doi.org/10.1016/j.chb.2017.10.035,285,12,"PSYCHOLOGY, EXPERIMENTAL",2018,40.71,TRUE,TRUE,TRUE
1018-8827,10.1007/s00787-022-02040-4,Piao; Huang; Han; Li; Xu; Liu; He,2022,Alarming changes in the global burden of mental disorders in children and adolescents from 1990 to 2019: a systematic analysis for the Global Burden of Disease study,European Child &amp; Adolescent Psychiatry,https://doi.org/10.1007/s00787-022-02040-4,90,24,"PSYCHOLOGY, DEVELOPMENTAL",2022,30,TRUE,TRUE,TRUE
1362-3613,10.1177/1362361315588200,Kenny; Hattersley; Molins; Buckley; Povey; Pellicano,2016,Which terms should be used to describe autism? Perspectives from the UK autism community,Autism,https://doi.org/10.1177/1362361315588200,1275,37,"PSYCHOLOGY, DEVELOPMENTAL",2016,141.67,TRUE,TRUE,TRUE
0956-7976,10.1177/0956797614567339,Hartshorne; Germine,2015,When Does Cognitive Functioning Peak? The Asynchronous Rise and Fall of Different Cognitive Abilities Across the Life Span,Psychological Science,https://doi.org/10.1177/0956797614567339,483,44,"PSYCHOLOGY, MULTIDISCIPLINARY",2015,48.3,TRUE,TRUE,TRUE
1369-8478,10.1016/j.trf.2018.09.029,Wu; Liao; Wang; Chen,2019,The role of environmental concern in the public acceptance of autonomous electric vehicles: A survey from China,Transportation Research Part F: Traffic Psychology and Behaviour,https://doi.org/10.1016/j.trf.2018.09.029,326,107,"PSYCHOLOGY, APPLIED",2019,54.33,TRUE,TRUE,TRUE
1087-0547,10.1177/1087054720978549,Sciberras; Patel; Stokes; Coghill; Middeldorp; Bellgrove; Becker; Efron; Stringaris; Faraone; Bellows; Quach; Banaschewski; McGillivray; Hutchinson; Silk; Melvin; Wood; Jackson; Loram; Engel; Montgomery; Westrupp,2022,"Physical Health, Media Use, and Mental Health in Children and Adolescents With ADHD During the COVID-19 Pandemic in Australia",Journal of Attention Disorders,https://doi.org/10.1177/1087054720978549,99,217,"PSYCHOLOGY, DEVELOPMENTAL",2022,33,TRUE,TRUE,TRUE
1939-2168,10.1037/cou0000140,Duffy; Blustein; Diemer; Autin,2016,The Psychology of Working Theory.,Journal of Counseling Psychology,https://doi.org/10.1037/cou0000140,610,87,"PSYCHOLOGY, APPLIED",2016,67.78,TRUE,TRUE,TRUE
0732-118X,10.1016/j.newideapsych.2023.101010,Foulkes; Andrews,2023,Are mental health awareness efforts contributing to the rise in reported mental health problems? A call to test the prevalence inflation hypothesis,New Ideas in Psychology,https://doi.org/10.1016/j.newideapsych.2023.101010,83,302,"PSYCHOLOGY, EXPERIMENTAL",2023,41.5,TRUE,TRUE,TRUE
1751-9004,10.1111/spc3.12265,Sheeran; Webb,2016,The Intention–Behavior Gap,Social and Personality Psychology Compass,https://doi.org/10.1111/spc3.12265,1178,48,"PSYCHOLOGY, SOCIAL",2016,130.89,TRUE,TRUE,TRUE
0956-7976,10.1177/0956797617719950,Sparkman; Walton,2017,"Dynamic Norms Promote Sustainable Behavior, Even if It Is Counternormative",Psychological Science,https://doi.org/10.1177/0956797617719950,386,44,"PSYCHOLOGY, MULTIDISCIPLINARY",2017,48.25,TRUE,TRUE,TRUE
0018-7208,10.1177/0018720816644364,Sheridan,2016,Human–Robot Interaction,Human Factors: The Journal of the Human Factors and Ergonomics Society,https://doi.org/10.1177/0018720816644364,523,186,PSYCHOLOGY,2016,58.11,TRUE,TRUE,TRUE
0047-2891,10.1007/s10964-017-0752-y,Duell; Steinberg; Icenogle; Chein; Chaudhary; Di Giunta; Dodge; Fanti; Lansford; Oburu; Pastorelli; Skinner; Sorbring; Tapanya; Uribe Tirado; Alampay; Al-Hassan; Takash; Bacchini; Chang,2018,Age Patterns in Risk Taking Across the World,Journal of Youth and Adolescence,https://doi.org/10.1007/s10964-017-0752-y,220,89,"PSYCHOLOGY, DEVELOPMENTAL",2018,31.43,TRUE,TRUE,TRUE
1556-1623,10.1007/s11409-014-9128-9,Wolters; Hussain,2015,Investigating grit and its relations with college students’ self-regulated learning and academic achievement,Metacognition and Learning,https://doi.org/10.1007/s11409-014-9128-9,340,77,"PSYCHOLOGY, EDUCATIONAL",2015,34,TRUE,TRUE,TRUE
0048-5772,10.1111/psyp.12370,Proudfit,2015,The reward positivity: From basic research on reward to a biomarker for depression,Psychophysiology,https://doi.org/10.1111/psyp.12370,677,180,PSYCHOLOGY,2015,67.7,TRUE,TRUE,TRUE
1664-1078,10.3389/fpsyg.2020.588667,Evans; Mikocka-Walus; Klas; Olive; Sciberras; Karantzas; Westrupp,2020,From “It Has Stopped Our Lives” to “Spending More Time Together Has Strengthened Bonds”: The Varied Experiences of Australian Families During COVID-19,Frontiers in Psychology,https://doi.org/10.3389/fpsyg.2020.588667,184,228,"PSYCHOLOGY, MULTIDISCIPLINARY",2020,36.8,TRUE,TRUE,TRUE
1868-8527,10.1007/s12671-021-01681-x,Baminiwatta; Solangaarachchi,2021,Trends and Developments in Mindfulness Research over 55 Years: A Bibliometric Analysis of Publications Indexed in Web of Science,Mindfulness,https://doi.org/10.1007/s12671-021-01681-x,132,156,"PSYCHOLOGY, CLINICAL",2021,33,TRUE,TRUE,TRUE
1939-1463,10.1037/met0000425,McNeish; Wolf,2023,Dynamic fit index cutoffs for confirmatory factor analysis models.,Psychological Methods,https://doi.org/10.1037/met0000425,145,17,"PSYCHOLOGY, MULTIDISCIPLINARY",2023,72.5,TRUE,TRUE,TRUE
0162-895X,10.1111/pops.12487,Iyengar; Krupenkin,2018,The Strengthening of Partisan Affect,Political Psychology,https://doi.org/10.1111/pops.12487,210,69,"PSYCHOLOGY, SOCIAL",2018,30,TRUE,TRUE,TRUE
1054-139X,10.1016/j.jadohealth.2020.03.006,Craig; Boniel-Nissim; King; Walsh; Boer; Donnelly; Harel-Fisch; Malinowska-Cieślik; Gaspar de Matos; Cosma; Van den Eijnden; Vieno; Elgar; Molcho; Bjereld; Pickett,2020,Social Media Use and Cyber-Bullying: A Cross-National Analysis of Young People in 42 Countries,Journal of Adolescent Health,https://doi.org/10.1016/j.jadohealth.2020.03.006,205,30,"PSYCHOLOGY, DEVELOPMENTAL",2020,41,TRUE,TRUE,TRUE
0272-4944,10.1016/j.jenvp.2014.11.012,van der Linden,2015,The social-psychological determinants of climate change risk perceptions: Towards a comprehensive model,Journal of Environmental Psychology,https://doi.org/10.1016/j.jenvp.2014.11.012,655,23,"PSYCHOLOGY, MULTIDISCIPLINARY",2015,65.5,TRUE,TRUE,TRUE
1532-3005,10.1002/smi.2673,Burton; Burgess; Dean; Koutsopoulou; Hugh‐Jones,2017,How Effective are Mindfulness‐Based Interventions for Reducing Stress Among Healthcare Professionals? A Systematic Review and Meta‐Analysis,Stress and Health,https://doi.org/10.1002/smi.2673,272,153,PSYCHOLOGY,2017,34,TRUE,TRUE,TRUE
1094-4281,10.1177/1094428117744021,Howard; Hoffman,2018,"Variable-Centered, Person-Centered, and Person-Specific Approaches",Organizational Research Methods,https://doi.org/10.1177/1094428117744021,569,13,"PSYCHOLOGY, APPLIED",2018,81.29,TRUE,TRUE,TRUE
0021-9630,10.1111/jcpp.13278,Becker; Gregory,2020,Editorial Perspective: Perils and promise for child and adolescent sleep and associated psychopathology during the COVID‐19 pandemic,Journal of Child Psychology and Psychiatry,https://doi.org/10.1111/jcpp.13278,179,19,PSYCHOLOGY,2020,35.8,TRUE,TRUE,TRUE
0747-5632,10.1016/j.chb.2020.106548,Ameen; Tarhini; Reppel; Anand,2021,Customer experiences in the age of artificial intelligence,Computers in Human Behavior,https://doi.org/10.1016/j.chb.2020.106548,316,12,"PSYCHOLOGY, EXPERIMENTAL",2021,79,TRUE,TRUE,TRUE
0033-2917,10.1017/s0033291717002781,Weinberger; Gbedemah; Martinez; Nash; Galea; Goodwin,2018,Trends in depression prevalence in the USA from 2005 to 2015: widening disparities in vulnerable groups,Psychological Medicine,https://doi.org/10.1017/s0033291717002781,405,26,PSYCHOLOGY,2018,57.86,TRUE,TRUE,TRUE
0033-2917,10.1017/s0033291714003110,Firth; Cotter; Elliott; French; Yung,2015,A systematic review and meta-analysis of exercise interventions in schizophrenia patients,Psychological Medicine,https://doi.org/10.1017/s0033291714003110,439,26,PSYCHOLOGY,2015,43.9,TRUE,TRUE,TRUE
2397-3374,10.1038/s41562-020-00951-3,Hebart; Zheng; Pereira; Baker,2020,Revealing the multidimensional mental representations of natural objects underlying human similarity judgements,Nature Human Behaviour,https://doi.org/10.1038/s41562-020-00951-3,150,1,"PSYCHOLOGY, EXPERIMENTAL",2020,30,TRUE,TRUE,TRUE
2214-7829,10.1016/j.invent.2017.10.002,Ly; Ly; Andersson,2017,A fully automated conversational agent for promoting mental well-being: A pilot RCT using mixed methods,Internet Interventions,https://doi.org/10.1016/j.invent.2017.10.002,270,102,"PSYCHOLOGY, CLINICAL",2017,33.75,TRUE,TRUE,TRUE
2397-3374,10.1038/s41562-020-0896-8,Guan; Wang; Hallegatte; Davis; Huo; Li; Bai; Lei; Xue; Coffman; Cheng; Chen; Liang; Xu; Lu; Wang; Hubacek; Gong,2020,Global supply-chain effects of COVID-19 control measures,Nature Human Behaviour,https://doi.org/10.1038/s41562-020-0896-8,566,1,"PSYCHOLOGY, EXPERIMENTAL",2020,113.2,TRUE,TRUE,TRUE
