ISSN,journal,DOI,year,citations,impact_factor_rank,category
1557-1874,International Journal of Mental Health and Addiction,10.1007/s11469-020-00474-y,2022,1,131,"PSYCHOLOGY, CLINICAL"
1868-8527,Mindfulness,10.1007/s12671-020-01574-5,2021,1,156,"PSYCHOLOGY, CLINICAL"
0010-9452,Cortex,10.1016/j.cortex.2020.12.006,2021,3,125,"PSYCHOLOGY, EXPERIMENTAL"
1010-0652,Zeitschrift für Pädagogische Psychologie,10.1024/1010-0652/a000298,2023,8,459,"PSYCHOLOGY, EDUCATIONAL"
0022-1309,The Journal of General Psychology,10.1080/00221309.2020.1867494,2021,33,365,"PSYCHOLOGY, MULTIDISCIPLINARY"
0167-482X,Journal of Psychosomatic Obstetrics &amp; Gynecology,10.1080/0167482x.2020.1864728,2022,0,342,"PSYCHOLOGY, CLINICAL"
0279-1072,Journal of Psychoactive Drugs,10.1080/02791072.2020.1856454,2021,1,346,"PSYCHOLOGY, CLINICAL"
0899-5605,Military Psychology,10.1080/08995605.2020.1842036,2021,4,607,"PSYCHOLOGY, MULTIDISCIPLINARY"
1528-3488,Identity,10.1080/15283488.2020.1856665,2021,14,397,"PSYCHOLOGY, SOCIAL"
1079-5014,The Journals of Gerontology: Series B,10.1093/geronb/gbab001,2021,16,46,PSYCHOLOGY
1079-5014,The Journals of Gerontology: Series B,10.1093/geronb/gbab005,2021,7,46,PSYCHOLOGY
0009-3920,Child Development,10.1111/cdev.13490,2021,21,79,"PSYCHOLOGY, DEVELOPMENTAL"
2397-0022,German Journal of Human Resource Management: Zeitschrift für Personalforschung,10.1177/2397002216689240,2017,8,126,"PSYCHOLOGY, APPLIED"
1662-5161,Frontiers in Human Neuroscience,10.3389/fnhum.2020.562360,2021,18,282,PSYCHOLOGY
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.612241,2021,67,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
2411-5118,Sexes,10.3390/sexes2010002,2021,4,568,"PSYCHOLOGY, MULTIDISCIPLINARY"
0003-4487,"Annales Médico-psychologiques, revue psychiatrique",10.1016/j.amp.2020.12.010,2021,0,735,PSYCHOLOGY
0364-0213,Cognitive Science,10.1111/cogs.12928,2021,9,298,"PSYCHOLOGY, EXPERIMENTAL"
1179-1578,Psychology Research and Behavior Management,10.2147/prbm.s288961,2021,13,194,"PSYCHOLOGY, CLINICAL"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.608949,2021,11,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1875-7235,GEDRAG &amp; ORGANISATIE REVIEW,10.37896/gor33.04/084,2020,0,777,"PSYCHOLOGY, APPLIED"
1875-7235,GEDRAG &amp; ORGANISATIE REVIEW,10.37896/gor33.04/085,2020,0,777,"PSYCHOLOGY, APPLIED"
0004-0002,Archives of Sexual Behavior,10.1007/s10508-020-01858-w,2021,31,174,"PSYCHOLOGY, CLINICAL"
0001-8244,Behavior Genetics,10.1007/s10519-020-10031-x,2021,32,234,"PSYCHOLOGY, MULTIDISCIPLINARY"
0001-8244,Behavior Genetics,10.1007/s10519-020-10039-3,2021,3,234,"PSYCHOLOGY, MULTIDISCIPLINARY"
0147-5916,Cognitive Therapy and Research,10.1007/s10608-020-10180-7,2021,8,187,"PSYCHOLOGY, CLINICAL"
0147-5916,Cognitive Therapy and Research,10.1007/s10608-020-10196-z,2021,1,187,"PSYCHOLOGY, CLINICAL"
1062-1024,Journal of Child and Family Studies,10.1007/s10826-020-01867-2,2021,5,487,"PSYCHOLOGY, DEVELOPMENTAL"
1062-1024,Journal of Child and Family Studies,10.1007/s10826-020-01871-6,2021,5,487,"PSYCHOLOGY, DEVELOPMENTAL"
0885-7482,Journal of Family Violence,10.1007/s10896-020-00231-8,2022,33,206,"PSYCHOLOGY, CLINICAL"
0360-0025,Sex Roles,10.1007/s11199-020-01212-3,2021,32,164,"PSYCHOLOGY, DEVELOPMENTAL"
1046-1310,Current Psychology,10.1007/s12144-020-01221-1,2022,5,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
0142-7164,Applied Psycholinguistics,10.1017/s0142716420000818,2021,0,264,"PSYCHOLOGY, EXPERIMENTAL"
1754-470X,The Cognitive Behaviour Therapist,10.1017/s1754470x20000598,2021,9,352,"PSYCHOLOGY, CLINICAL"
1091-4269,Depression and Anxiety,10.1002/da.23134,2021,12,50,PSYCHOLOGY
0883-8534,Journal of Multicultural Counseling and Development,10.1002/jmcd.v49.1,2021,0,670,"PSYCHOLOGY, APPLIED"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-020-01700-7,2022,7,24,"PSYCHOLOGY, DEVELOPMENTAL"
0004-0002,Archives of Sexual Behavior,10.1007/s10508-020-01768-x,2022,42,174,"PSYCHOLOGY, CLINICAL"
0022-0116,Journal of Contemporary Psychotherapy,10.1007/s10879-020-09483-3,2021,0,502,"PSYCHOLOGY, CLINICAL"
0090-6905,Journal of Psycholinguistic Research,10.1007/s10936-020-09741-4,2021,1,481,"PSYCHOLOGY, EXPERIMENTAL"
1557-1874,International Journal of Mental Health and Addiction,10.1007/s11469-020-00464-0,2022,1,131,"PSYCHOLOGY, CLINICAL"
1866-2625,School Mental Health,10.1007/s12310-020-09401-x,2021,17,252,"PSYCHOLOGY, DEVELOPMENTAL"
1998-1929,Behavior Analysis in Practice,10.1007/s40617-020-00525-9,2021,1,355,"PSYCHOLOGY, CLINICAL"
0003-6870,Applied Ergonomics,10.1016/j.apergo.2020.103351,2021,30,155,"PSYCHOLOGY, APPLIED"
1931-1559,Neuropsychology,10.1037/neu0000644,2021,10,237,PSYCHOLOGY
1931-1559,Neuropsychology,10.1037/neu0000705,2021,12,237,PSYCHOLOGY
2397-3374,Nature Human Behaviour,10.1038/s41562-020-01006-3,2021,10,1,"PSYCHOLOGY, EXPERIMENTAL"
2397-3374,Nature Human Behaviour,10.1038/s41562-020-01013-4,2021,6,1,"PSYCHOLOGY, EXPERIMENTAL"
1668-7027,Interdisciplinaria Revista de Psicología y Ciencias Afines,10.16888/interd.2020.37.2,2020,0,683,"PSYCHOLOGY, MULTIDISCIPLINARY"
0889-8391,Journal of Cognitive Psychotherapy,10.1891/jcpsy-d-20-00020,2021,2,714,"PSYCHOLOGY, CLINICAL"
1179-1578,Psychology Research and Behavior Management,10.2147/prbm.s297484,2021,0,194,"PSYCHOLOGY, CLINICAL"
0041-1868,Le travail humain,10.3917/th.834.0285,2020,2,738,PSYCHOLOGY
0041-1868,Le travail humain,10.3917/th.834.0407,2020,0,738,PSYCHOLOGY
2353-4192,Current Issues in Personality Psychology,10.5114/cipp.2020.100095,2020,4,639,"PSYCHOLOGY, SOCIAL"
2353-4192,Current Issues in Personality Psychology,10.5114/cipp.2020.99946,2020,1,639,"PSYCHOLOGY, SOCIAL"
1522-7227,Infant and Child Development,10.1002/icd.2216,2021,3,202,"PSYCHOLOGY, DEVELOPMENTAL"
0163-9641,Infant Mental Health Journal,10.1002/imhj.21905,2021,1,404,"PSYCHOLOGY, DEVELOPMENTAL"
1057-7408,Journal of Consumer Psychology,10.1002/jcpy.1218,2021,2,73,"PSYCHOLOGY, APPLIED"
0883-8534,Journal of Multicultural Counseling and Development,10.1002/jmcd.12204,2021,3,670,"PSYCHOLOGY, APPLIED"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-020-01692-4,2022,2,24,"PSYCHOLOGY, DEVELOPMENTAL"
0885-7482,Journal of Family Violence,10.1007/s10896-020-00236-3,2022,21,206,"PSYCHOLOGY, CLINICAL"
0885-7482,Journal of Family Violence,10.1007/s10896-020-00240-7,2022,45,206,"PSYCHOLOGY, CLINICAL"
0885-7482,Journal of Family Violence,10.1007/s10896-020-00241-6,2021,8,206,"PSYCHOLOGY, CLINICAL"
0020-4277,Instructional Science,10.1007/s11251-020-09532-3,2021,0,225,"PSYCHOLOGY, EDUCATIONAL"
1557-1874,International Journal of Mental Health and Addiction,10.1007/s11469-020-00453-3,2022,5,131,"PSYCHOLOGY, CLINICAL"
1557-1874,International Journal of Mental Health and Addiction,10.1007/s11469-020-00459-x,2022,2,131,"PSYCHOLOGY, CLINICAL"
1931-1559,Neuropsychology,10.1037/neu0000666,2021,16,237,PSYCHOLOGY
1949-2715,"Personality Disorders: Theory, Research, and Treatment",10.1037/per0000472.supp,2021,0,166,"PSYCHOLOGY, CLINICAL"
0014-0139,Ergonomics,10.1080/00140139.2020.1858185,2021,32,362,PSYCHOLOGY
0014-0139,Ergonomics,10.1080/00140139.2020.1867241,2021,11,362,PSYCHOLOGY
0887-0446,Psychology &amp; Health,10.1080/08870446.2020.1869739,2022,6,276,"PSYCHOLOGY, MULTIDISCIPLINARY"
0951-5070,Counselling Psychology Quarterly,10.1080/09515070.2020.1857701,2022,4,483,"PSYCHOLOGY, APPLIED"
1612-197X,International Journal of Sport and Exercise Psychology,10.1080/1612197x.2020.1869803,2022,3,296,"PSYCHOLOGY, APPLIED"
2331-1908,Cogent Psychology,10.1080/23311908.2020.1869375,2021,5,381,"PSYCHOLOGY, MULTIDISCIPLINARY"
2152-2715,"Cyberpsychology, Behavior, and Social Networking",10.1089/cyber.2020.0217,2021,22,65,"PSYCHOLOGY, SOCIAL"
0144-6665,British Journal of Social Psychology,10.1111/bjso.12439,2021,25,134,"PSYCHOLOGY, SOCIAL"
0302-282X,Neuropsychobiology,10.1159/000511605,2021,8,285,PSYCHOLOGY
0302-282X,Neuropsychobiology,10.1159/000512082,2021,4,285,PSYCHOLOGY
0022-1465,Journal of Health and Social Behavior,10.1177/0022146520976624,2021,29,21,"PSYCHOLOGY, SOCIAL"
0041-1868,Le travail humain,10.3917/th.834.0297,2020,8,738,PSYCHOLOGY
0041-1868,Le travail humain,10.3917/th.834.0361,2020,1,738,PSYCHOLOGY
2353-4192,Current Issues in Personality Psychology,10.5114/cipp.2020.100791,2020,6,639,"PSYCHOLOGY, SOCIAL"
2353-4184,Health Psychology Report,10.5114/hpr.2020.101495,2020,3,398,"PSYCHOLOGY, SOCIAL"
2353-4184,Health Psychology Report,10.5114/hpr.2020.101552,2020,2,398,"PSYCHOLOGY, SOCIAL"
1018-8827,European Child &amp; Adolescent Psychiatry,10.1007/s00787-025-02679-9,2025,0,24,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-025-06770-7,2025,0,152,"PSYCHOLOGY, DEVELOPMENTAL"
0047-2891,Journal of Youth and Adolescence,10.1007/s10964-025-02160-5,2025,0,89,"PSYCHOLOGY, DEVELOPMENTAL"
0047-2891,Journal of Youth and Adolescence,10.1007/s10964-025-02161-4,2025,0,89,"PSYCHOLOGY, DEVELOPMENTAL"
0747-5632,Computers in Human Behavior,10.1016/j.chb.2025.108625,2025,0,12,"PSYCHOLOGY, EXPERIMENTAL"
0747-5632,Computers in Human Behavior,10.1016/j.chb.2025.108626,2025,0,12,"PSYCHOLOGY, EXPERIMENTAL"
2451-9588,Computers in Human Behavior Reports,10.1016/j.chbr.2025.100623,2025,0,42,"PSYCHOLOGY, EXPERIMENTAL"
2451-9588,Computers in Human Behavior Reports,10.1016/j.chbr.2025.100640,2025,0,42,"PSYCHOLOGY, EXPERIMENTAL"
0022-2496,Journal of Mathematical Psychology,10.1016/s0022-2496(25)00012-4,2025,0,321,"PSYCHOLOGY, MATHEMATICAL"
2573-9581,Autism in Adulthood,10.1089/aut.2025.0010,2025,0,6,"PSYCHOLOGY, DEVELOPMENTAL"
0306-624X,International Journal of Offender Therapy and Comparative Criminology,10.1177/0306624x251324661,2025,0,554,"PSYCHOLOGY, APPLIED"
1747-9541,International Journal of Sports Science &amp; Coaching,10.1177/17479541251320606,2025,0,516,"PSYCHOLOGY, APPLIED"
2050-7283,BMC Psychology,10.1186/s40359-025-02469-7,2025,0,208,"PSYCHOLOGY, MULTIDISCIPLINARY"
1814-2052,Psychological Science and Education,10.17759/pse.2025300102,2025,0,685,"PSYCHOLOGY, MULTIDISCIPLINARY"
1814-2052,Psychological Science and Education,10.17759/pse.2025300105,2025,0,685,"PSYCHOLOGY, MULTIDISCIPLINARY"
1814-2052,Psychological Science and Education,10.17759/pse.2025300110,2025,0,685,"PSYCHOLOGY, MULTIDISCIPLINARY"
1814-2052,Psychological Science and Education,10.17759/pse.2025300111,2025,0,685,"PSYCHOLOGY, MULTIDISCIPLINARY"
2076-328X,Behavioral Sciences,10.3390/bs15030285,2025,0,251,"PSYCHOLOGY, MULTIDISCIPLINARY"
2076-328X,Behavioral Sciences,10.3390/bs15030286,2025,0,251,"PSYCHOLOGY, MULTIDISCIPLINARY"
0090-502X,Memory &amp; Cognition,10.3758/s13421-025-01696-y,2025,0,320,"PSYCHOLOGY, EXPERIMENTAL"
1554-3528,Behavior Research Methods,10.3758/s13428-025-02618-1,2025,0,55,"PSYCHOLOGY, EXPERIMENTAL"
1076-9242,Dyslexia,10.1002/dys.70000,2025,0,418,"PSYCHOLOGY, EDUCATIONAL"
0256-2928,European Journal of Psychology of Education,10.1007/s10212-025-00944-8,2025,0,207,"PSYCHOLOGY, EDUCATIONAL"
0010-9452,Cortex,10.1016/j.cortex.2024.12.013,2025,0,125,"PSYCHOLOGY, EXPERIMENTAL"
2589-9791,Journal of Behavioral and Cognitive Therapy,10.1016/j.jbct.2025.100523,2025,0,471,"PSYCHOLOGY, CLINICAL"
0033-2917,Psychological Medicine,10.1017/s0033291725000194,2025,0,26,PSYCHOLOGY
1468-1994,Sexual and Relationship Therapy,10.1080/14681994.2025.2464675,2025,0,521,"PSYCHOLOGY, CLINICAL"
1532-5024,Journal of Loss and Trauma,10.1080/15325024.2025.2465388,2025,0,248,"PSYCHOLOGY, SOCIAL"
2327-9095,Applied Neuropsychology: Adult,10.1080/23279095.2025.2465850,2025,0,542,PSYCHOLOGY
1756-8757,Topics in Cognitive Science,10.1111/tops.12785,2025,0,178,"PSYCHOLOGY, EXPERIMENTAL"
1179-1578,Psychology Research and Behavior Management,10.2147/prbm.s492811,2025,0,194,"PSYCHOLOGY, CLINICAL"
0022-0175,The Journal of Creative Behavior,10.1002/jocb.490,2021,7,192,"PSYCHOLOGY, EDUCATIONAL"
2730-7166,Research on Child and Adolescent Psychopathology,10.1007/s10802-020-00681-0,2021,12,181,"PSYCHOLOGY, CLINICAL"
1046-1310,Current Psychology,10.1007/s12144-020-01270-6,2022,3,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
0005-7894,Behavior Therapy,10.1016/j.beth.2020.12.007,2021,9,115,"PSYCHOLOGY, CLINICAL"
0145-2134,Child Abuse &amp; Neglect,10.1016/j.chiabu.2020.104905,2021,11,110,"PSYCHOLOGY, SOCIAL"
1949-2723,"Personality Disorders: Theory, Research, and Treatment",10.1037/per0000444,2021,7,166,"PSYCHOLOGY, CLINICAL"
1949-2723,"Personality Disorders: Theory, Research, and Treatment",10.1037/per0000479,2022,11,166,"PSYCHOLOGY, CLINICAL"
1939-1315,Journal of Personality and Social Psychology,10.1037/pspa0000263,2021,23,20,"PSYCHOLOGY, SOCIAL"
1040-0419,Creativity Research Journal,10.1080/10400419.2020.1855906,2021,45,253,"PSYCHOLOGY, EDUCATIONAL"
1082-6084,Substance Use &amp; Misuse,10.1080/10826084.2020.1868521,2021,0,456,PSYCHOLOGY
0141-0423,Journal of Research in Reading,10.1111/1467-9817.12340,2021,10,406,"PSYCHOLOGY, EDUCATIONAL"
1355-3259,Legal and Criminological Psychology,10.1111/lcrp.12190,2021,7,310,"PSYCHOLOGY, MULTIDISCIPLINARY"
2050-7283,BMC Psychology,10.1186/s40359-020-00504-3,2021,4,208,"PSYCHOLOGY, MULTIDISCIPLINARY"
1662-5161,Frontiers in Human Neuroscience,10.3389/fnhum.2020.573187,2020,2,282,PSYCHOLOGY
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.522830,2021,0,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.544589,2020,4,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.554915,2020,74,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.563722,2020,23,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.576683,2020,0,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.605724,2021,0,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.613617,2021,17,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.614657,2021,15,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.616978,2020,22,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1664-1078,Frontiers in Psychology,10.3389/fpsyg.2020.617048,2021,4,228,"PSYCHOLOGY, MULTIDISCIPLINARY"
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02180-2,2021,0,470,PSYCHOLOGY
1473-3145,Counselling and Psychotherapy Research,10.1002/capr.12381,2021,3,566,"PSYCHOLOGY, CLINICAL"
1473-3145,Counselling and Psychotherapy Research,10.1002/capr.12384,2021,0,566,"PSYCHOLOGY, CLINICAL"
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01101-6,2022,14,293,"PSYCHOLOGY, DEVELOPMENTAL"
0892-2764,Contemporary Family Therapy,10.1007/s10591-020-09561-7,2021,3,625,"PSYCHOLOGY, CLINICAL"
0147-5916,Cognitive Therapy and Research,10.1007/s10608-020-10193-2,2021,3,187,"PSYCHOLOGY, CLINICAL"
0147-5916,Cognitive Therapy and Research,10.1007/s10608-020-10194-1,2021,28,187,"PSYCHOLOGY, CLINICAL"
1873-0388,International Journal for Educational and Vocational Guidance,10.1007/s10775-020-09453-0,2021,9,465,"PSYCHOLOGY, APPLIED"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04811-x,2021,16,152,"PSYCHOLOGY, DEVELOPMENTAL"
1068-9583,Journal of Clinical Psychology in Medical Settings,10.1007/s10880-020-09756-y,2022,4,494,"PSYCHOLOGY, CLINICAL"
1068-9583,Journal of Clinical Psychology in Medical Settings,10.1007/s10880-020-09757-x,2021,10,494,"PSYCHOLOGY, CLINICAL"
1573-3602,Journal of Gambling Studies,10.1007/s10899-020-09992-9,2021,4,275,"PSYCHOLOGY, MULTIDISCIPLINARY"
1389-4978,Journal of Happiness Studies,10.1007/s10902-020-00339-0,2021,21,143,"PSYCHOLOGY, MULTIDISCIPLINARY"
0922-4777,Reading and Writing,10.1007/s11145-020-10113-6,2021,4,407,"PSYCHOLOGY, EDUCATIONAL"
1932-4502,Integrative Psychological and Behavioral Science,10.1007/s12124-020-09584-7,2022,1,612,"PSYCHOLOGY, BIOLOGICAL"
1046-1310,Current Psychology,10.1007/s12144-020-01186-1,2022,3,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01229-7,2021,25,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01255-5,2022,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01263-5,2021,9,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01298-8,2022,6,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01302-1,2022,11,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01304-z,2022,23,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01305-y,2022,7,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01325-8,2022,6,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1866-2625,School Mental Health,10.1007/s12310-020-09400-y,2021,4,252,"PSYCHOLOGY, DEVELOPMENTAL"
2196-2987,Current Developmental Disorders Reports,10.1007/s40474-020-00221-x,2021,1,328,"PSYCHOLOGY, DEVELOPMENTAL"
1998-1929,Behavior Analysis in Practice,10.1007/s40617-020-00516-w,2021,4,355,"PSYCHOLOGY, CLINICAL"
1998-1929,Behavior Analysis in Practice,10.1007/s40617-020-00523-x,2021,0,355,"PSYCHOLOGY, CLINICAL"
1064-9506,Behavior and Social Issues,10.1007/s42822-020-00041-z,2021,3,382,"PSYCHOLOGY, MULTIDISCIPLINARY"
0010-0277,Cognition,10.1016/j.cognition.2020.104573,2021,4,195,"PSYCHOLOGY, EXPERIMENTAL"
0010-0277,Cognition,10.1016/j.cognition.2020.104579,2021,10,195,"PSYCHOLOGY, EXPERIMENTAL"
2330-2933,Evolutionary Behavioral Sciences,10.1037/ebs0000259,2022,0,597,PSYCHOLOGY
2689-6575,Psychology of Popular Media,10.1037/ppm0000291,2021,3,332,"PSYCHOLOGY, MULTIDISCIPLINARY"
0160-8061,Journal of Organizational Behavior Management,10.1080/01608061.2020.1860860,2021,7,330,"PSYCHOLOGY, APPLIED"
0163-9625,Deviant Behavior,10.1080/01639625.2020.1865116,2022,1,466,"PSYCHOLOGY, SOCIAL"
1040-0419,Creativity Research Journal,10.1080/10400419.2020.1866895,2021,3,253,"PSYCHOLOGY, EDUCATIONAL"
0364-0213,Cognitive Science,10.1111/cogs.12914,2021,13,298,"PSYCHOLOGY, EXPERIMENTAL"
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02187-9,2021,8,470,PSYCHOLOGY
1943-3921,"Attention, Perception, &amp; Psychophysics",10.3758/s13414-020-02210-z,2021,4,470,PSYCHOLOGY
0090-502X,Memory &amp; Cognition,10.3758/s13421-020-01119-0,2021,10,320,"PSYCHOLOGY, EXPERIMENTAL"
0090-502X,Memory &amp; Cognition,10.3758/s13421-020-01121-6,2021,2,320,"PSYCHOLOGY, EXPERIMENTAL"
0340-0727,Psychological Research,10.1007/s00426-020-01444-8,2021,17,324,"PSYCHOLOGY, EXPERIMENTAL"
0340-0727,Psychological Research,10.1007/s00426-020-01453-7,2021,2,324,"PSYCHOLOGY, EXPERIMENTAL"
0256-2928,European Journal of Psychology of Education,10.1007/s10212-020-00522-0,2021,2,207,"PSYCHOLOGY, EDUCATIONAL"
1053-1890,Child &amp; Youth Care Forum,10.1007/s10566-020-09596-9,2021,3,473,"PSYCHOLOGY, DEVELOPMENTAL"
0009-398X,Child Psychiatry &amp; Human Development,10.1007/s10578-020-01096-0,2022,4,293,"PSYCHOLOGY, DEVELOPMENTAL"
1873-0388,International Journal for Educational and Vocational Guidance,10.1007/s10775-020-09449-w,2021,5,465,"PSYCHOLOGY, APPLIED"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04801-z,2021,39,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04819-3,2021,32,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04820-w,2021,16,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04825-5,2021,1,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04826-4,2021,32,152,"PSYCHOLOGY, DEVELOPMENTAL"
0162-3257,Journal of Autism and Developmental Disorders,10.1007/s10803-020-04849-x,2021,20,152,"PSYCHOLOGY, DEVELOPMENTAL"
0882-2689,Journal of Psychopathology and Behavioral Assessment,10.1007/s10862-020-09858-9,2021,3,558,"PSYCHOLOGY, CLINICAL"
0882-2689,Journal of Psychopathology and Behavioral Assessment,10.1007/s10862-020-09863-y,2021,3,558,"PSYCHOLOGY, CLINICAL"
0022-0116,Journal of Contemporary Psychotherapy,10.1007/s10879-020-09484-2,2021,1,502,"PSYCHOLOGY, CLINICAL"
0022-0116,Journal of Contemporary Psychotherapy,10.1007/s10879-020-09485-1,2021,13,502,"PSYCHOLOGY, CLINICAL"
1389-4978,Journal of Happiness Studies,10.1007/s10902-020-00338-1,2021,3,143,"PSYCHOLOGY, MULTIDISCIPLINARY"
0922-4777,Reading and Writing,10.1007/s11145-020-10111-8,2021,7,407,"PSYCHOLOGY, EDUCATIONAL"
0922-4777,Reading and Writing,10.1007/s11145-020-10115-4,2021,6,407,"PSYCHOLOGY, EDUCATIONAL"
0922-4777,Reading and Writing,10.1007/s11145-020-10117-2,2021,16,407,"PSYCHOLOGY, EDUCATIONAL"
0020-4277,Instructional Science,10.1007/s11251-020-09529-y,2021,4,225,"PSYCHOLOGY, EDUCATIONAL"
1046-1310,Current Psychology,10.1007/s12144-020-01238-6,2022,3,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01248-4,2022,13,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01277-z,2022,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01284-0,2022,6,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01288-w,2022,16,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01292-0,2021,19,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01293-z,2022,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01300-3,2022,2,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01301-2,2022,1,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01307-w,2022,37,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01309-8,2022,5,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01318-7,2022,74,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01323-w,2022,3,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01326-7,2022,8,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
1046-1310,Current Psychology,10.1007/s12144-020-01327-6,2022,8,250,"PSYCHOLOGY, MULTIDISCIPLINARY"
2367-0134,Occupational Health Science,10.1007/s41542-020-00078-x,2021,2,495,"PSYCHOLOGY, APPLIED"
1064-9506,Behavior and Social Issues,10.1007/s42822-020-00044-w,2021,2,382,"PSYCHOLOGY, MULTIDISCIPLINARY"
1389-0417,Cognitive Systems Research,10.1016/j.cogsys.2020.12.009,2021,55,344,"PSYCHOLOGY, EXPERIMENTAL"
1053-8100,Consciousness and Cognition,10.1016/j.concog.2020.103072,2021,4,348,"PSYCHOLOGY, EXPERIMENTAL"
1369-8478,Transportation Research Part F: Traffic Psychology and Behaviour,10.1016/j.trf.2020.09.012,2021,1,107,"PSYCHOLOGY, APPLIED"
1040-0419,Creativity Research Journal,10.1080/10400419.2020.1856595,2021,5,253,"PSYCHOLOGY, EDUCATIONAL"
1064-0266,Eating Disorders,10.1080/10640266.2020.1855571,2022,2,171,PSYCHOLOGY
